time,"I(IIN)","I(IXIN)","I(LOUT)"
6.300000e-11,-2.000000e-05,1.500000e-03,1.996707e-05
6.325000e-11,-2.000000e-05,1.500000e-03,2.000238e-05
6.350000e-11,-2.000000e-05,1.500000e-03,2.002280e-05
6.375000e-11,-2.000000e-05,1.500000e-03,2.002468e-05
6.400000e-11,-2.000000e-05,1.500000e-03,2.000848e-05
6.425000e-11,-2.000000e-05,1.500000e-03,1.997851e-05
6.450000e-11,-2.000000e-05,1.500000e-03,1.994179e-05
6.475000e-11,-2.000000e-05,1.500000e-03,1.990646e-05
6.500000e-11,-2.000000e-05,1.500000e-03,1.987992e-05
6.525000e-11,-2.000000e-05,1.500000e-03,1.986741e-05
6.550000e-11,-2.000000e-05,1.500000e-03,1.987091e-05
6.575000e-11,-2.000000e-05,1.500000e-03,1.988895e-05
6.600000e-11,-2.000000e-05,1.500000e-03,1.991703e-05
6.625000e-11,-2.000000e-05,1.500000e-03,1.994874e-05
6.650000e-11,-2.000000e-05,1.500000e-03,1.997716e-05
6.675000e-11,-2.000000e-05,1.500000e-03,1.999640e-05
6.700000e-11,-2.000000e-05,1.500000e-03,2.000278e-05
6.725000e-11,-2.000000e-05,1.500000e-03,1.999556e-05
6.750000e-11,-2.000000e-05,1.500000e-03,1.997691e-05
6.775000e-11,-2.000000e-05,1.500000e-03,1.995133e-05
6.800000e-11,-2.000000e-05,1.500000e-03,1.992458e-05
6.825000e-11,-2.000000e-05,1.500000e-03,1.990241e-05
6.850000e-11,-2.000000e-05,1.500000e-03,1.988929e-05
6.875000e-11,-2.000000e-05,1.500000e-03,1.988760e-05
6.900000e-11,-2.000000e-05,1.500000e-03,1.989715e-05
6.925000e-11,-2.000000e-05,1.500000e-03,1.991540e-05
6.950000e-11,-2.000000e-05,1.500000e-03,1.993809e-05
6.975000e-11,-2.000000e-05,1.500000e-03,1.996017e-05
7.000000e-11,-2.000000e-05,1.500000e-03,1.997700e-05
7.025000e-11,-2.000000e-05,1.500000e-03,1.998522e-05
7.050000e-11,-2.000000e-05,1.500000e-03,1.998349e-05
7.075000e-11,-2.000000e-05,1.500000e-03,1.997265e-05
7.100000e-11,-2.000000e-05,1.500000e-03,1.995542e-05
7.125000e-11,-2.000000e-05,1.500000e-03,1.993578e-05
7.150000e-11,-2.000000e-05,1.500000e-03,1.991800e-05
7.175000e-11,-2.000000e-05,1.500000e-03,1.990578e-05
7.200000e-11,-2.000000e-05,1.500000e-03,1.990144e-05
7.225000e-11,-2.000000e-05,1.500000e-03,1.990554e-05
7.250000e-11,-2.000000e-05,1.500000e-03,1.991682e-05
7.275000e-11,-2.000000e-05,1.500000e-03,1.993255e-05
7.300000e-11,-2.000000e-05,1.500000e-03,1.994919e-05
7.325000e-11,-2.000000e-05,1.500000e-03,1.996316e-05
7.350000e-11,-2.000000e-05,1.500000e-03,1.997161e-05
7.375000e-11,-2.000000e-05,1.500000e-03,1.997300e-05
7.400000e-11,-2.000000e-05,1.500000e-03,1.996736e-05
7.425000e-11,-2.000000e-05,1.500000e-03,1.995622e-05
7.450000e-11,-2.000000e-05,1.500000e-03,1.994222e-05
7.475000e-11,-2.000000e-05,1.500000e-03,1.992845e-05
7.500000e-11,-2.000000e-05,1.500000e-03,1.991783e-05
7.525000e-11,-2.000000e-05,1.500000e-03,1.991247e-05
7.550000e-11,-2.000000e-05,1.500000e-03,1.991326e-05
7.575000e-11,-2.000000e-05,1.500000e-03,1.991974e-05
7.600000e-11,-2.000000e-05,1.500000e-03,1.993029e-05
7.625000e-11,-2.000000e-05,1.500000e-03,1.994246e-05
7.650000e-11,-2.000000e-05,1.500000e-03,1.995360e-05
7.675000e-11,-2.000000e-05,1.500000e-03,1.996139e-05
7.700000e-11,-2.000000e-05,1.500000e-03,1.996432e-05
7.725000e-11,-2.000000e-05,1.500000e-03,1.996201e-05
7.750000e-11,-2.000000e-05,1.500000e-03,1.995518e-05
7.775000e-11,-2.000000e-05,1.500000e-03,1.994550e-05
7.800000e-11,-2.000000e-05,1.500000e-03,1.993516e-05
7.825000e-11,-2.000000e-05,1.500000e-03,1.992639e-05
7.850000e-11,-2.000000e-05,1.500000e-03,1.992097e-05
7.875000e-11,-2.000000e-05,1.500000e-03,1.991991e-05
7.900000e-11,-2.000000e-05,1.500000e-03,1.992321e-05
7.925000e-11,-2.000000e-05,1.500000e-03,1.992999e-05
7.950000e-11,-2.000000e-05,1.500000e-03,1.993864e-05
7.975000e-11,-2.000000e-05,1.500000e-03,1.994723e-05
8.000000e-11,-2.000000e-05,1.500000e-03,1.995394e-05
8.025000e-11,-2.000000e-05,1.500000e-03,1.995743e-05
8.050000e-11,-2.000000e-05,1.500000e-03,1.995712e-05
8.075000e-11,-2.000000e-05,1.500000e-03,1.995324e-05
8.100000e-11,-2.000000e-05,1.500000e-03,1.994678e-05
8.125000e-11,-2.000000e-05,1.500000e-03,1.993924e-05
8.150000e-11,-2.000000e-05,1.500000e-03,1.993227e-05
8.175000e-11,-2.000000e-05,1.500000e-03,1.992733e-05
8.200000e-11,-2.000000e-05,1.500000e-03,1.992536e-05
8.225000e-11,-2.000000e-05,1.500000e-03,1.992666e-05
8.250000e-11,-2.000000e-05,1.500000e-03,1.993078e-05
8.275000e-11,-2.000000e-05,1.500000e-03,1.993673e-05
8.300000e-11,-2.000000e-05,1.500000e-03,1.994315e-05
8.325000e-11,-2.000000e-05,1.500000e-03,1.994867e-05
8.350000e-11,-2.000000e-05,1.500000e-03,1.995214e-05
8.375000e-11,-2.000000e-05,1.500000e-03,1.995293e-05
8.400000e-11,-2.000000e-05,1.500000e-03,1.995099e-05
8.425000e-11,-2.000000e-05,1.500000e-03,1.994687e-05
8.450000e-11,-2.000000e-05,1.500000e-03,1.994153e-05
8.475000e-11,-2.000000e-05,1.500000e-03,1.993618e-05
8.500000e-11,-2.000000e-05,1.500000e-03,1.993195e-05
8.525000e-11,-2.000000e-05,1.500000e-03,1.992968e-05
8.550000e-11,-2.000000e-05,1.500000e-03,1.992977e-05
8.575000e-11,-2.000000e-05,1.500000e-03,1.993208e-05
8.600000e-11,-2.000000e-05,1.500000e-03,1.993603e-05
8.625000e-11,-2.000000e-05,1.500000e-03,1.994070e-05
8.650000e-11,-2.000000e-05,1.500000e-03,1.994505e-05
8.675000e-11,-2.000000e-05,1.500000e-03,1.994819e-05
8.700000e-11,-2.000000e-05,1.500000e-03,1.994951e-05
8.725000e-11,-2.000000e-05,1.500000e-03,1.994879e-05
8.750000e-11,-2.000000e-05,1.500000e-03,1.994630e-05
8.775000e-11,-2.000000e-05,1.500000e-03,1.994265e-05
8.800000e-11,-2.000000e-05,1.500000e-03,1.993866e-05
8.825000e-11,-2.000000e-05,1.500000e-03,1.993520e-05
8.850000e-11,-2.000000e-05,1.500000e-03,1.993298e-05
8.875000e-11,-2.000000e-05,1.500000e-03,1.993241e-05
8.900000e-11,-2.000000e-05,1.500000e-03,1.993354e-05
8.925000e-11,-2.000000e-05,1.500000e-03,1.993605e-05
8.950000e-11,-2.000000e-05,1.500000e-03,1.993933e-05
8.975000e-11,-2.000000e-05,1.500000e-03,1.994267e-05
9.000000e-11,-2.000000e-05,1.500000e-03,1.994534e-05
9.025000e-11,-2.000000e-05,1.500000e-03,1.994681e-05
9.050000e-11,-2.000000e-05,1.500000e-03,1.994682e-05
9.075000e-11,-2.000000e-05,1.500000e-03,1.994544e-05
9.100000e-11,-2.000000e-05,1.500000e-03,1.994303e-05
9.125000e-11,-2.000000e-05,1.500000e-03,1.994014e-05
9.150000e-11,-2.000000e-05,1.500000e-03,1.993742e-05
9.175000e-11,-2.000000e-05,1.500000e-03,1.993543e-05
9.200000e-11,-2.000000e-05,1.500000e-03,1.993456e-05
9.225000e-11,-2.000000e-05,1.500000e-03,1.993495e-05
9.250000e-11,-2.000000e-05,1.500000e-03,1.993644e-05
9.275000e-11,-2.000000e-05,1.500000e-03,1.993869e-05
9.300000e-11,-2.000000e-05,1.500000e-03,1.994116e-05
9.325000e-11,-2.000000e-05,1.500000e-03,1.994334e-05
9.350000e-11,-2.000000e-05,1.500000e-03,1.994476e-05
9.375000e-11,-2.000000e-05,1.500000e-03,1.994516e-05
9.400000e-11,-2.000000e-05,1.500000e-03,1.994450e-05
9.425000e-11,-2.000000e-05,1.500000e-03,1.994298e-05
9.450000e-11,-2.000000e-05,1.500000e-03,1.994095e-05
9.475000e-11,-2.000000e-05,1.500000e-03,1.993888e-05
9.500000e-11,-2.000000e-05,1.500000e-03,1.993719e-05
9.525000e-11,-2.000000e-05,1.500000e-03,1.993624e-05
9.550000e-11,-2.000000e-05,1.500000e-03,1.993619e-05
9.575000e-11,-2.000000e-05,1.500000e-03,1.993701e-05
9.600000e-11,-2.000000e-05,1.500000e-03,1.993849e-05
9.625000e-11,-2.000000e-05,1.500000e-03,1.994027e-05
9.650000e-11,-2.000000e-05,1.500000e-03,1.994198e-05
9.675000e-11,-2.000000e-05,1.500000e-03,1.994324e-05
9.700000e-11,-2.000000e-05,1.500000e-03,1.994381e-05
9.725000e-11,-2.000000e-05,1.500000e-03,1.994361e-05
9.750000e-11,-2.000000e-05,1.500000e-03,1.994270e-05
9.775000e-11,-2.000000e-05,1.500000e-03,1.994133e-05
9.800000e-11,-2.000000e-05,1.500000e-03,1.993979e-05
9.825000e-11,-2.000000e-05,1.500000e-03,1.993843e-05
9.850000e-11,-2.000000e-05,1.500000e-03,1.993752e-05
9.875000e-11,-2.000000e-05,1.500000e-03,1.993724e-05
9.900000e-11,-2.000000e-05,1.500000e-03,1.993762e-05
9.925000e-11,-2.000000e-05,1.500000e-03,1.993854e-05
9.950000e-11,-2.000000e-05,1.500000e-03,1.993979e-05
9.975000e-11,-2.000000e-05,1.500000e-03,1.994109e-05
1.000000e-10,-2.000000e-05,1.500000e-03,1.994215e-05
1.002500e-10,-2.000000e-05,1.500000e-03,1.994276e-05
1.005000e-10,-2.000000e-05,1.500000e-03,1.994282e-05
1.007500e-10,-2.000000e-05,1.500000e-03,1.994233e-05
1.010000e-10,-2.000000e-05,1.500000e-03,1.994143e-05
1.012500e-10,-2.000000e-05,1.500000e-03,1.994033e-05
1.015000e-10,-2.000000e-05,1.500000e-03,1.993926e-05
1.017500e-10,-2.000000e-05,1.500000e-03,1.993847e-05
1.020000e-10,-2.000000e-05,1.500000e-03,1.993809e-05
1.022500e-10,-2.000000e-05,1.500000e-03,1.993819e-05
1.025000e-10,-2.000000e-05,1.500000e-03,1.993874e-05
1.027500e-10,-2.000000e-05,1.500000e-03,1.993958e-05
1.030000e-10,-2.000000e-05,1.500000e-03,1.994053e-05
1.032500e-10,-2.000000e-05,1.500000e-03,1.994139e-05
1.035000e-10,-2.000000e-05,1.500000e-03,1.994196e-05
1.037500e-10,-2.000000e-05,1.500000e-03,1.994216e-05
1.040000e-10,-2.000000e-05,1.500000e-03,1.994194e-05
