time,"I(IIN_A)","I(IIN_B)","I(ICLK)","I(LOUT)"
1.823750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.824000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.824250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.824500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.824750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.825000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.825250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.825500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.825750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.826000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.826250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.826500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.826750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.827000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.827250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.827500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.827750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.828000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.828250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.828500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.828750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.829000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.829250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.829500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.829750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.830000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.830250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.830500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.830750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.831000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.831250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.831500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.831750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.832000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.832250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.832500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.832750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.833000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.833250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.833500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.833750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.834000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.834250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.834500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.834750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.835000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.835250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.835500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.835750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.836000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.836250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.836500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
