time,"I(IIN_A)","I(IIN_B)","I(ICLK1)","I(ICLK2)","I(LOUT)"
1.874750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.875000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.875250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.875500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.875750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.876000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.876250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.876500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.876750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.877000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.877250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.877500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.877750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.878000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.878250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.878500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.878750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.879000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.879250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.879500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.879750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.880000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.880250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.880500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.880750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.881000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.881250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.881500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.881750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.882000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.882250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.882500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.882750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.883000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.883250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.883500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.883750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.884000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.884250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.884500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.884750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.885000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.885250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.885500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.885750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.886000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.886250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.886500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.886750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.887000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.887250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
